Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,MFE USD,MFE %,MAE USD,MAE %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-12-03 02:22,close long,91784,0.08,7141.12,185.6,2.60,236.14,3.30,-8,-0.11,161.6,0.16
1,Entry long,2025-12-02 18:00,long,89264,0.08,7141.12,185.6,2.60,236.14,3.30,-8,-0.11,161.6,0.16
2,Exit long,2025-12-03 02:22,close long,91784,0.08,7143.36,183.36,2.56,233.9,3.27,-8,-0.11,352.96,0.35
2,Entry long,2025-12-02 18:00,long,89292,0.08,7143.36,183.36,2.56,233.9,3.27,-8,-0.11,352.96,0.35
3,Exit long,2025-12-03 02:22,close long,91784,0.08,7145.6,181.12,2.53,231.66,3.24,-8,-0.11,542.08,0.54
3,Entry long,2025-12-02 18:00,long,89320,0.08,7145.6,181.12,2.53,231.66,3.24,-8,-0.11,542.08,0.54
4,Exit long,2025-12-03 02:22,close long,91784,0.08,7147.84,178.88,2.50,229.42,3.21,-8,-0.11,728.96,0.73
4,Entry long,2025-12-02 18:00,long,89348,0.08,7147.84,178.88,2.50,229.42,3.21,-8,-0.11,728.96,0.73
5,Exit long,2025-12-04 08:40,close long,93044,0.08,7443.52,-16,-0.21,72.64,0.97,-31.94,-0.43,688.96,0.69
5,Entry long,2025-12-04 00:10,long,93044,0.08,7443.52,-16,-0.21,72.64,0.97,-31.94,-0.43,688.96,0.69
6,Exit long,2025-12-04 08:40,close long,93044,0.08,7445.76,-18.24,-0.24,70.4,0.94,-34.18,-0.46,678.72,0.68
6,Entry long,2025-12-04 00:10,long,93072,0.08,7445.76,-18.24,-0.24,70.4,0.94,-34.18,-0.46,678.72,0.68
7,Exit long,2025-12-04 08:40,close long,93044,0.08,7448,-20.48,-0.27,68.16,0.91,-36.42,-0.49,666.24,0.67
7,Entry long,2025-12-04 00:12,long,93100,0.08,7448,-20.48,-0.27,68.16,0.91,-36.42,-0.49,666.24,0.67
8,Exit long,2025-12-04 08:40,close long,93044,0.08,7443.52,-16,-0.21,72.64,0.97,-31.94,-0.43,658.24,0.66
8,Entry long,2025-12-04 00:14,long,93044,0.08,7443.52,-16,-0.21,72.64,0.97,-31.94,-0.43,658.24,0.66
9,Exit short,2025-12-06 00:14,long,89460,0.08,7291.2,118.4,1.62,211.52,2.90,-25.92,-0.36,752.64,0.75
9,Entry short,2025-12-05 18:06,short,91140,0.08,7291.2,118.4,1.62,211.52,2.90,-25.92,-0.36,752.64,0.75
10,Exit short,2025-12-06 00:14,long,89460,0.08,7288.96,116.16,1.59,209.28,2.87,-28.16,-0.39,876.8,0.88
10,Entry short,2025-12-05 18:06,short,91112,0.08,7288.96,116.16,1.59,209.28,2.87,-28.16,-0.39,876.8,0.88
11,Exit short,2025-12-06 00:14,long,89460,0.08,7286.72,113.92,1.56,207.04,2.84,-30.4,-0.42,998.72,1.00
11,Entry short,2025-12-05 18:06,short,91084,0.08,7286.72,113.92,1.56,207.04,2.84,-30.4,-0.42,998.72,1.00
12,Exit short,2025-12-06 00:14,long,89460,0.08,7284.48,111.68,1.53,204.8,2.81,-32.64,-0.45,1118.4,1.12
12,Entry short,2025-12-05 18:06,short,91056,0.08,7284.48,111.68,1.53,204.8,2.81,-32.64,-0.45,1118.4,1.12
13,Exit long,2025-12-06 16:26,close end,89656,0.08,7156.8,-0.32,0.00,16.64,0.23,-48.32,-0.67,1094.08,1.09
13,Entry long,2025-12-06 00:14,long,89460,0.08,7156.8,-0.32,0.00,16.64,0.23,-48.32,-0.67,1094.08,1.09
14,Exit long,2025-12-06 16:26,close end,89656,0.08,7152.32,4.16,0.06,21.12,0.29,-43.84,-0.61,1106.24,1.11
14,Entry long,2025-12-06 00:16,long,89404,0.08,7152.32,4.16,0.06,21.12,0.29,-43.84,-0.61,1106.24,1.11
15,Exit long,2025-12-06 16:26,close end,89656,0.08,7156.8,-0.32,0.00,16.64,0.23,-48.32,-0.67,1113.92,1.11
15,Entry long,2025-12-06 00:18,long,89460,0.08,7156.8,-0.32,0.00,16.64,0.23,-48.32,-0.67,1113.92,1.11
16,Exit long,2025-12-06 16:26,close end,89656,0.08,7159.04,-2.56,-0.04,14.4,0.20,-50.56,-0.71,1119.36,1.12
16,Entry long,2025-12-06 00:20,long,89488,0.08,7159.04,-2.56,-0.04,14.4,0.20,-50.56,-0.71,1119.36,1.12
17,Exit long,2025-12-07 12:34,close long,89236,0.08,7161.28,-38.4,-0.54,12.16,0.17,-39.36,-0.55,1056.96,1.06
17,Entry long,2025-12-07 04:00,long,89516,0.08,7161.28,-38.4,-0.54,12.16,0.17,-39.36,-0.55,1056.96,1.06
18,Exit long,2025-12-07 12:34,close long,89236,0.08,7156.8,-33.92,-0.47,16.64,0.23,-34.88,-0.49,1031.04,1.03
18,Entry long,2025-12-07 04:06,long,89460,0.08,7156.8,-33.92,-0.47,16.64,0.23,-34.88,-0.49,1031.04,1.03
19,Exit long,2025-12-07 12:34,close long,89236,0.08,7154.56,-31.68,-0.44,18.88,0.26,-32.64,-0.46,1007.36,1.01
19,Entry long,2025-12-07 04:06,long,89432,0.08,7154.56,-31.68,-0.44,18.88,0.26,-32.64,-0.46,1007.36,1.01
20,Exit long,2025-12-07 12:34,close long,89236,0.08,7159.04,-36.16,-0.50,14.4,0.20,-37.12,-0.52,979.2,0.98
